abide;abided,abode;abided
arise;arose;arisen
awake;awoke;awoken
be;was,were;been
bear;bore;borne
beat;beat;beaten
become;became;become
befall;befell;befallen
beget;begot;begotten
begin;began;begun
behold;beheld;beheld
bend;bent;bent
beseech;besought,beseeched;besought,beseeched
beset;beset;beset
bet;bet;bet
bid;bade,bid;bidden,bid
bind;bound;bound
bite;bit;bitten
bleed;bled;bled
blow;blew;blown
break;broke;broken
breed;bred;bred
bring;brought;brought
broadcast;broadcast;broadcast
browbeat;browbeat;browbeaten
build;built;built
burn;burned,burnt;burned,burnt
burst;burst;burst
bust;bust,busted;bust,busted
buy;bought;bought
cast;cast;cast
catch;caught;caught
choose;chose;chosen
cleave;cleaved,cleft,clove;cleaved,cleft,cloven
cling;clung;clung
come;came;come
cost;cost;cost
creep;crept;crept
cut;cut;cut
deal;dealt;dealt
dig;dug;dug
dive;dived,dove;dived
do;did;done
draw;drew;drawn
dream;dreamed,dreamt;dreamed,dreamt
drink;drank;drunk
drive;drove;driven
dwell;dwelt,dwelled;dwelt,dwelled
eat;ate;eaten
fall;fell;fallen
feed;fed;fed
feel;felt;felt
fight;fought;fought
find;found;found
flee;fled;fled
fling;flung;flung
fly;flew;flown
forbid;forbade;forbidden
forecast;forecast,forecasted;forecast
forego;forewent;foregone
foresee;foresaw;foreseen
foretell;foretold;foretold
forget;forgot;forgotten
forgive;forgave;forgiven
forsake;forsook;forsaken
forswear;forswore;forsworn
freeze;froze;frozen
gainsay;gainsaid;gainsaid
get;got;got,gotten
give;gave;given
go;went;gone
grind;ground;ground
grow;grew;grown
hamstring;hamstrung;hamstrung
hang;hung,hanged;hung,hanged
have;had;had
hear;heard;heard
heave;heaved,hove;heaved,hove
hide;hid;hidden,hid
hit;hit;hit
hold;held;held
hurt;hurt;hurt
input;inputted,input;inputted,input
inset;inset;inset,insetted
interbreed;interbred;interbred
interweave;interwove;interwoven
keep;kept;kept
kneel;knelt,kneeled;knelt,kneeled
knit;knitted,knit;knitted,knit
know;knew;known
lay;laid;laid
lead;led;led
lean;leaned,leant;leaned.leant
leap;leapt,leaped;leapt,leaped
learn;learned,learnt;learned,learnt
leave;left;left
lend;lent;lent
let;let;let
lie;lay;lain
light;lit,lighted;lit,lighted
lose;lost;lost
make;made;made
mean;meant;meant
meet;met;met
miscast;miscast;miscast
mishear;misheard;misheard
mislay;mislaid;mislaid
mislead;misled;misled
misread;misread;misread
misspell;misspelled,misspelt;misspelled,misspelt
misspend;misspent;misspent
mistake;mistook;mistaken
misunderstand;misunderstood;misunderstood
mow;mowed;mown,mowed
offset;offset;offset
outbid;outbid;outbid
outdo;outdid;outdone
outgrow;outgrew;outgrown
outrun;outran;outrun
outsell;outsold;outsold
outshine;outshone;outshone
overcome;overcame;overcome
overdo;overdid;overdone
overeat;overate;overeaten
overhang;overhung;overhung
overhear;overheard;overheard
overlay;overlaid;overlaid
overpay;overpaid;overpaid
override;overrode;overridden
overrun;overran;overrun
oversee;oversaw;overseen
overshoot;overshot;overshot
oversleep;overslept;overslept
overtake;overtook;overtaken
overthrow;overthrew;overthrown
partake;partook;partaken
pay;paid;paid
plead;pleaded,pled;pleaded,pled
proofread;proofread;proofread
prove;proved;proven,proved
put;put;put
quit;quit;quit
read;read;read
rebuild;rebuilt;rebuilt
recast;recast;recast
redo;redid;redone
relay;relaid;relaid
remake;remade;remade
rend;rent;rent
repay;repaid;repaid
rerun;reran;rerun
resell;resold;resold
reset;reset;reset
resit;resat;resat
retell;retold;retold
rethink;rethought;rethought
rewind;rewound;rewound
rewrite;rewrote;rewritten
rid;rid;rid
ride;rode;ridden
ring;rung;rung
rise;rose;risen
run;ran;run
saw;sawed;sawn,sawed
say;said;said
see;saw;seen
seek;sought;sought
sell;sold;sold
send;sent;sent
set;set;set
sew;sewed;sewn,sewed
shake;shook;shaken
shall;should;should
show;showed;shown,showed
shrink;shrank,shrunk;shrunk
shut;shut;shut
sing;sang;sung
sink;sank,sunk;sunk
sit;sat;sat
slay;slew;slain
sleep;slept;slept
slide;slid;slid
sling;slung;slung
slink;slunk;slunk
slit;slit;slit
smell;smelled,smelt;smelled,smelt
smite;smote;smitten
sow;sowed;sown,sowed
speak;spoke;spoken
speed;sped,speeded;sped,speeded
spell;spelled,spelt;spelled,spelt
spend;spent;spent
spill;spilled,spillt;spilled,spilt
spin;spun;spun
spit;spat,spit;spat,spit
split;split;split
spoil;spoliled,spoilt;spoiled,spoilt
spotlight;spotlighted,spotlit;spotlighted,spotlit
spread;spread;spread
spring;sprang;sprung
stand;stood;stood
steal;stole;stolen
stick;stuck;stuck
sting;stung;stung
stink;stank,stunk;stunk
strew;strewed;strewn,strewed
stride;strode;stridden
strike;struck;struck
string;strung;strung
strive;strove,strived;striven,strived
sublet;sublet;sublet
swear;swore;sworn
sweep;swept;swept
swell;swelled;swollen,swelled
swim;swam;swum
swing;swung;swung
take;took;taken
teach;taught;taught
tear;tore;torn
tell;told;told
think;thought;thought
thrive;thrived,throve;thrived
throw;threw;thrown
thrust;thrust;thrust
tread;trod;trodden,trod
unbend;unbent;unbent
undergo;underwent;undergone
underpay;underpaid;underpaid
undersell;undersold;undersold
understand;understood;understood
undertake;undertook;undertaken
underwrite;underwrote;underwritten
undo;undid;undone
unwind;unwound;unwound
uphold;upheld;upheld
upset;upset;upset
wake;woke;woken
wear;wore;worn
weave;wove;woven
wed;wedded,wed;wedded,wed
weep;wept;wept
wet;wetted,wet;wetted,wet
win;won;won
wind;wound;wound
withdraw;withdrew;withdrawn
withhold;withheld;withheld
withstand;withstood;withstood
wring;wrung;wrung
write;wrote;written
